X,Y,FID,GISDBID,Mode,Route,Direction,Stop_Code,Stop,Lat,Lon,Sign_Up,Weekday_On,Weekday_Of,Saturday_O,Saturday_1,Sunday_Ons,Sunday_Off
-75.219001,40.029911,4712,2716024N,Bus,27,Northbound,16024,Manayunk Av & Lyceum Av,40.029911,-75.219001,Fall 2023,3,51,2,17,2,7
-75.15921,39.951747,4713,3310259S,Bus,33,Southbound,10259,Market St & 11th St - MBNS,39.951747,-75.15921,Fall 2023,58,250,46,187,28,120
-75.217903,40.028892,4714,2716052N,Bus,27,Northbound,16052,Manayunk Av & Monastery Av,40.028892,-75.217903,Fall 2023,1,16,2,4,0,3
-75.161598,39.95203,4715,3310263S,Bus,33,Southbound,10263,Market St & 13th St,39.95203,-75.161598,Fall 2023,108,315,57,202,29,108
-75.215469,40.026176,4716,2719035N,Bus,27,Northbound,19035,Manayunk Av & Pensdale St,40.026176,-75.215469,Fall 2023,6,12,2,6,1,4
-75.165473,39.952548,4717,3310266S,Bus,33,Southbound,10266,Market St & 15th St,39.952548,-75.165473,Fall 2023,116,437,53,222,30,170
-75.21595,40.026798,4718,2719037N,Bus,27,Northbound,19037,Manayunk Av & Rector St,40.026798,-75.21595,Fall 2023,3,35,5,10,1,7
-75.167045,39.952735,4719,3318451S,Bus,33,Southbound,18451,Market St & 16th St,39.952735,-75.167045,Fall 2023,96,349,48,206,37,138
-75.210708,40.019882,4720,2730394N,Bus,27,Northbound,30394,Manayunk Av & Ridge Av - FS,40.019882,-75.210708,Fall 2023,36,34,8,9,4,3
-75.170173,39.953121,4721,3310272S,Bus,33,Southbound,10272,Market St & 18th St,39.953121,-75.170173,Fall 2023,82,207,35,154,15,93
-75.216499,40.027523,4722,2710209N,Bus,27,Northbound,10209,Manayunk Av & Roxborough Av,40.027523,-75.216499,Fall 2023,5,22,4,6,3,2
-75.142326,39.949649,4723,337657S,Bus,33,Southbound,7657,Market St & Front St,39.949649,-75.142326,Fall 2023,102,71,84,32,50,22
-75.211441,40.020866,4724,2719036N,Bus,27,Northbound,19036,Manayunk Av & Salaignac St,40.020866,-75.211441,Fall 2023,1,8,3,1,0,2
-75.140228,39.948715,4725,33593S,Bus,33,Southbound,593,Penn's Landing - 1,39.948715,-75.140228,Fall 2023,0,36,0,57,0,39
-75.212684,40.022563,4726,2719033N,Bus,27,Northbound,19033,Manayunk Av & Seville St,40.022563,-75.212684,Fall 2023,5,17,4,5,3,2
-75.167366,39.973506,4727,3318426S,Bus,33,Southbound,18426,Ridge Av & 19th St,39.973506,-75.167366,Fall 2023,50,70,20,35,19,27
-75.293769,40.104038,4728,2719047N,Bus,27,Northbound,19047,Metroplex Shop Ctr - opposite shelter,40.104038,-75.293769,Fall 2023,14,51,8,45,7,27
-75.16957,39.977367,4729,3312293S,Bus,33,Southbound,12293,Ridge Av & Jefferson St,39.977367,-75.16957,Fall 2023,101,48,57,22,41,21
-75.284034,40.117195,4730,27246N,Bus,27,Northbound,246,Plymouth Meeting Mall,40.117195,-75.284034,Fall 2023,0,74,0,66,0,33
-75.168708,39.975849,4731,3312307S,Bus,33,Southbound,12307,Ridge Av & Master St,39.975849,-75.168708,Fall 2023,91,48,44,18,38,15
-75.241271,40.070911,4732,2712370N,Bus,27,Northbound,12370,Ridge Av & Bells Mill Rd - FS,40.070911,-75.241271,Fall 2023,2,9,0,5,1,3
-75.170455,39.978954,4733,3312320S,Bus,33,Southbound,12320,Ridge Av & Oxford St,39.978954,-75.170455,Fall 2023,38,18,20,12,11,7
-75.239425,40.064033,4734,2712253N,Bus,27,Northbound,12253,Ridge Av & Cathedral Rd,40.064033,-75.239425,Fall 2023,16,63,8,34,5,23
-75.232498,40.04507,4735,3530919L,Bus,35,Loop,30919,Domino La & Ridge Av,40.04507,-75.232498,Fall 2023,2,1,1,2,1,10
-75.239692,40.063762,4736,2719281N,Bus,27,Northbound,19281,Ridge Av & Cathedral Rd - FS,40.063762,-75.239692,Fall 2023,0,13,0,0,0,1
-75.236488,40.043357,4737,3518031L,Bus,35,Loop,18031,Domino Ln & Fowler St,40.043357,-75.236488,Fall 2023,0,1,0,1,0,0
-75.239891,40.066387,4738,2730728N,Bus,27,Northbound,30728,Ridge Av & Grakyn Ln - MBFS,40.066387,-75.239891,Fall 2023,2,2,0,1,0,1
-75.234397,40.044281,4739,3518032L,Bus,35,Loop,18032,Domino Ln & Fowler St - MBFS,40.044281,-75.234397,Fall 2023,0,1,0,0,0,1
-75.21582,40.034111,4740,2712274N,Bus,27,Northbound,12274,Ridge Av & Green Ln,40.034111,-75.21582,Fall 2023,57,51,24,14,15,12
-75.238311,40.040954,4741,3518030L,Bus,35,Loop,18030,Domino Ln & Umbria St - MBFS,40.040954,-75.238311,Fall 2023,0,3,0,0,0,0
-75.240264,40.068332,4742,2719042N,Bus,27,Northbound,19042,Ridge Av & Manatawna Av,40.068332,-75.240264,Fall 2023,0,15,1,8,0,6
-75.230148,40.029289,4743,3530918L,Bus,35,Loop,30918,Leverington Av & Main St,40.029289,-75.230148,Fall 2023,2,0,0,1,0,1
-75.244422,40.074615,4744,2730730N,Bus,27,Northbound,30730,Ridge Av & Northwestern Av - MBFS,40.074615,-75.244422,Fall 2023,0,1,0,0,0,2
